Performance Statistics   2019-10-11 09:50:00 - 2019-10-11 09:50:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
communicator.presence_gc~                              600.0         600         600         0.0           1

Performance Statistics   2019-10-11 09:51:30 - 2019-10-11 09:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 28.0          28          28         0.0           1
global.bg.ok                                             0.0           0           6         0.3        1450

Performance Statistics   2019-10-11 09:51:30 - 2019-10-11 09:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:52:00 - 2019-10-11 09:52:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 51.0          51          51         0.0           1
global.bg.ok                                             0.1           0          53         1.4        1500
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:52:00 - 2019-10-11 09:52:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1

Performance Statistics   2019-10-11 09:52:30 - 2019-10-11 09:53:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 28.0          28          28         0.0           1
global.bg.ok                                             0.0           0          38         1.0        1500

Performance Statistics   2019-10-11 09:52:30 - 2019-10-11 09:53:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2

Performance Statistics   2019-10-11 09:53:00 - 2019-10-11 09:53:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 60.0          60          60         0.0           1
global.bg.ok                                             0.0           0          20         0.6        1500
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:53:00 - 2019-10-11 09:53:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1

Performance Statistics   2019-10-11 09:53:30 - 2019-10-11 09:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 24.0          24          24         0.0           1
global.bg.ok                                             0.0           0           3         0.2        1500

Performance Statistics   2019-10-11 09:53:30 - 2019-10-11 09:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:54:00 - 2019-10-11 09:54:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 33.0          33          33         0.0           1
global.bg.ok                                             0.0           0          17         0.5        1500
global.event_dispatch.ok                                 7.9           0          39        11.0          15
global.jtapi.push.ok                                   130.2           0         287        96.7           5
global.servletRequest.ok                                12.3           3          23         8.9           4
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           4
partner.PGroupDisplay.getDisplayPNG.ok                   8.8           0          19         8.8           4
partner.PGroupDisplay.updateCache.ok                     0.1           0           1         0.3           7
partner.PGroupMember.PhoneDisplay.ok                     1.8           1           4         1.1           6
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0           9
partner.PGroupMember.uSAG.getGroupTerminals.ok           7.7           4          15         5.2           3
partner.PGroupMember.uSAG.notifySubscribers.1            0.3           0           1         0.5           3
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           3
partner.PGroupMember.uSAG.ok                            14.7          11          21         4.5           3
partner.PGroupMember.uSAG.prepPushData.ok                4.7           3           7         1.7           3
partner.PGroupMember.uSAG.push2Terms.ok                  0.0           0           0         0.0           3
partner.servletRequest.ok                               10.8           2          21         8.8           4
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:54:00 - 2019-10-11 09:54:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1
global.events.add#                                       0.0           0           0         0.0          12
global.events.dropped#                                   0.0           0           0         0.0           3
global.events.enqueue#                                   0.0           0           0         0.0          15
global.events.queues.APAS-DesktopPhoneEventQueueWorker-1~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-2~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-3~         1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-10~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-11~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-12~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-13~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-14~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-15~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-16~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-17~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-6~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-7~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-8~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-9~               1.0           1           1         0.0           1
global.jtapi.push.add#                                   0.0           0           0         0.0           7
global.jtapi.push.queues.Queue 11~                       1.0           1           1         0.0           4
global.jtapi.push.queues.Queue 9~                        1.0           1           1         0.0           3

Performance Statistics   2019-10-11 09:54:30 - 2019-10-11 09:55:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 26.0          26          26         0.0           1
global.bg.ok                                             0.0           0           3         0.2        1500
global.jtapi.push.ok                                    84.0          81          87         3.0           2
global.servletRequest.ok                                30.5          14          47        16.5           2
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           2
partner.PGroupDisplay.getDisplayPNG.ok                   6.0           1          11         5.0           2
partner.PGroupDisplay.updateCache.ok                     0.0           0           0         0.0           2
partner.servletRequest.ok                               29.5          13          46        16.5           2

Performance Statistics   2019-10-11 09:54:30 - 2019-10-11 09:55:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2
global.events.add#                                       0.0           0           0         0.0           1
global.events.dropped#                                   0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:55:00 - 2019-10-11 09:55:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
api.non-authenticated.server.available.ok                1.0           1           1         0.0           1
axl.SOAPRequest.read.ok                                 18.0          18          18         0.0           1
global.bg.ok                                             0.1           0         111         2.9        1450
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:55:00 - 2019-10-11 09:55:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1
global.disk_util#                                        0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:55:30 - 2019-10-11 09:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 23.0          23          23         0.0           1
global.bg.ok                                             0.0           0           3         0.2        1500

Performance Statistics   2019-10-11 09:55:30 - 2019-10-11 09:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:56:00 - 2019-10-11 09:56:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 19.0          19          19         0.0           1
global.bg.ok                                             0.0           0          17         0.5        1500
global.event_dispatch.ok                                 1.1           0           5         1.4          10
global.jtapi.push.ok                                    76.8           0         111        39.9           5
global.servletRequest.ok                                 8.8           3          15         5.8           4
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           4
partner.PGroupDisplay.getDisplayPNG.ok                   6.0           0          12         6.0           4
partner.PGroupDisplay.updateCache.ok                     0.5           0           3         1.1           6
partner.PGroupMember.PhoneDisplay.ok                     1.0           1           1         0.0           4
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0           6
partner.PGroupMember.uSAG.getGroupTerminals.ok           1.5           1           2         0.5           2
partner.PGroupMember.uSAG.notifySubscribers.1            1.5           0           3         1.5           2
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           2
partner.PGroupMember.uSAG.ok                             8.0           6          10         2.0           2
partner.PGroupMember.uSAG.prepPushData.ok                3.0           3           3         0.0           2
partner.PGroupMember.uSAG.push2Terms.ok                  0.0           0           0         0.0           2
partner.servletRequest.ok                                8.0           2          14         6.0           4
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:56:00 - 2019-10-11 09:56:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2
communicator.presence_gc~                              600.0         600         600         0.0           1
global.events.add#                                       0.0           0           0         0.0           9
global.events.dropped#                                   0.0           0           0         0.0           3
global.events.enqueue#                                   0.0           0           0         0.0          10
global.events.queues.APAS-DesktopPhoneEventQueueWorker-4~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-5~         1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-18~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-19~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-20~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-21~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-22~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-23~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-24~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-25~              1.0           1           1         0.0           1
global.jtapi.push.add#                                   0.0           0           0         0.0           5
global.jtapi.push.queues.Queue 11~                       1.0           1           1         0.0           3
global.jtapi.push.queues.Queue 9~                        1.0           1           1         0.0           2

Performance Statistics   2019-10-11 09:56:30 - 2019-10-11 09:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 19.0          19          19         0.0           1
global.bg.ok                                             0.0           0           7         0.3        1500

Performance Statistics   2019-10-11 09:56:30 - 2019-10-11 09:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:57:00 - 2019-10-11 09:57:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 31.0          31          31         0.0           1
global.andservices.servletRequest.ok                     0.0           0           0         0.0           1
global.bg.ok                                             0.0           0          20         0.5        1500
global.event_dispatch.ok                                 0.4           0           1         0.5           5
global.jtapi.push.ok                                    82.5          79          86         3.5           2
global.servletRequest.ok                                16.8           1          45        16.9           4
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           4
partner.PGroupDisplay.getDisplayPNG.ok                   5.0           0          10         5.0           2
partner.PGroupDisplay.updateCache.ok                     1.7           0           5         2.4           3
partner.PGroupMember.PhoneDisplay.ok                     3.0           2           4         1.0           2
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0           3
partner.PGroupMember.uSAG.getGroupTerminals.ok          10.0          10          10         0.0           1
partner.PGroupMember.uSAG.notifySubscribers.1            0.0           0           0         0.0           1
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           1
partner.PGroupMember.uSAG.ok                            19.0          19          19         0.0           1
partner.PGroupMember.uSAG.prepPushData.ok                7.0           7           7         0.0           1
partner.PGroupMember.uSAG.push2Terms.ok                  0.0           0           0         0.0           1
partner.servletRequest.ok                               10.0           8          12         2.0           2
presence.UsersGC.ok                                      0.0           0           0         0.0           1
recorder.servletRequest.ok                              43.0          43          43         0.0           1

Performance Statistics   2019-10-11 09:57:00 - 2019-10-11 09:57:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1
global.events.add#                                       0.0           0           0         0.0           5
global.events.dropped#                                   0.0           0           0         0.0           2
global.events.enqueue#                                   0.0           0           0         0.0           5
global.events.queues.APAS-DesktopPhoneEventQueueWorker-6~         1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-26~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-27~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-28~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-29~              1.0           1           1         0.0           1
global.jtapi.push.add#                                   0.0           0           0         0.0           2
global.jtapi.push.queues.Queue 11~                       1.0           1           1         0.0           1
global.jtapi.push.queues.Queue 9~                        1.0           1           1         0.0           1

Performance Statistics   2019-10-11 09:57:30 - 2019-10-11 09:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
global.bg.ok                                             0.0           0           3         0.2        1500

Performance Statistics   2019-10-11 09:57:30 - 2019-10-11 09:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:58:00 - 2019-10-11 09:58:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 23.0          23          23         0.0           1
global.bg.ok                                             0.0           0          19         0.5        1450
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:58:00 - 2019-10-11 09:58:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2
communicator.presence_gc~                              600.0         600         600         0.0           1

Performance Statistics   2019-10-11 09:58:30 - 2019-10-11 09:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 50.0          50          50         0.0           1
global.bg.ok                                             0.0           0          10         0.3        1500

Performance Statistics   2019-10-11 09:58:30 - 2019-10-11 09:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2019-10-11 09:59:00 - 2019-10-11 09:59:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 50.0          50          50         0.0           1
global.bg.ok                                             0.0           0          16         0.5        1500
global.event_dispatch.ok                                 1.3           0           5         1.6          15
global.jtapi.push.ok                                    86.4           0         174        46.5           7
global.servletRequest.ok                                11.2           3          16         4.7           6
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           6
partner.PGroupDisplay.getDisplayPNG.ok                   5.7           0          13         5.7           6
partner.PGroupDisplay.updateCache.ok                     1.6           0           9         3.1           9
partner.PGroupMember.PhoneDisplay.ok                     2.3           1           4         1.1           6
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0           9
partner.PGroupMember.uSAG.getGroupTerminals.ok           2.3           1           3         0.9           3
partner.PGroupMember.uSAG.notifySubscribers.1            0.0           0           0         0.0           3
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           3
partner.PGroupMember.uSAG.ok                            10.0           6          12         2.8           3
partner.PGroupMember.uSAG.prepPushData.ok                5.0           3           6         1.4           3
partner.PGroupMember.uSAG.push2Terms.ok                  0.0           0           0         0.0           3
partner.servletRequest.ok                               10.5           2          15         4.6           6
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:59:00 - 2019-10-11 09:59:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1
global.events.add#                                       0.0           0           0         0.0          12
global.events.dropped#                                   0.0           0           0         0.0           3
global.events.enqueue#                                   0.0           0           0         0.0          15
global.events.queues.APAS-DesktopPhoneEventQueueWorker-7~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-8~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-9~         1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-1~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-2~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-30~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-31~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-32~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-3~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-4~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-5~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-6~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-7~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-8~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-9~               1.0           1           1         0.0           1
global.jtapi.push.add#                                   0.0           0           0         0.0           7
global.jtapi.push.queues.Queue 11~                       1.0           1           1         0.0           4
global.jtapi.push.queues.Queue 9~                        1.0           1           1         0.0           3

Performance Statistics   2019-10-11 09:59:30 - 2019-10-11 10:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
global.bg.ok                                             0.0           0          11         0.3        1500

