Performance Statistics   2020-02-28 07:46:00 - 2020-02-28 07:46:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
global.events.queues.APAS-PGMWorker-7~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-8~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-9~                   1.0           1           1         0.0           1
global.jtapi.TermRegisteredEvt#                          0.0           0           0         0.0           1
global.jtapi.addrInSvcEvt#                               0.0           0           0         0.0           2
global.jtapi.addrOutSvcEvt#                              0.0           0           0         0.0           2
global.jtapi.push.add#                                   0.0           0           0         0.0           7
global.jtapi.push.duplicate#                             0.0           0           0         0.0           5
global.jtapi.push.queues.Queue 11~                       1.5           1           2         0.5           2
global.jtapi.push.queues.Queue 9~                        3.0           1           5         2.0           2
global.threads~                                        267.0         267         267         0.0           1

Performance Statistics   2020-02-28 07:47:00 - 2020-02-28 07:47:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 31.0          31          31         0.0           1
global.bg.ok                                             3.2           1          35         6.2          30
global.event_dispatch.ok                                23.4           0         201        55.2          15
global.jtapi.push.ok                                   107.1           0         335        97.4           7
global.servletRequest.ok                                10.0           2          23         7.9           6
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           6
partner.PGroupDisplay.getDisplayPNG.ok                   6.8           0          21         7.8           6
partner.PGroupDisplay.updateCache.ok                     0.0           0           0         0.0           9
partner.PGroupMember.PhoneDisplay.ok                     4.5           1          16         5.3           6
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0           9
partner.PGroupMember.uSAG.getGroupTerminals.ok           4.7           1           9         3.3           3
partner.PGroupMember.uSAG.notifySubscribers.1            0.3           0           1         0.5           3
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           3
partner.PGroupMember.uSAG.ok                            16.0          14          20         2.8           3
partner.PGroupMember.uSAG.prepPushData.ok               10.0           4          18         5.9           3
partner.PGroupMember.uSAG.push2Terms.ok                  0.0           0           0         0.0           3
partner.servletRequest.ok                                8.5           1          22         7.7           6
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2020-02-28 07:47:00 - 2020-02-28 07:47:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
communicator.presence_gc~                              600.0         600         600         0.0           1
global.events.add#                                       0.0           0           0         0.0          13
global.events.dropped#                                   0.0           0           0         0.0           4
global.events.enqueue#                                   0.0           0           0         0.0          15
global.events.queues.APAS-DesktopPhoneEventQueueWorker-1~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-2~         1.0           1           1         0.0           1
global.events.queues.APAS-DesktopPhoneEventQueueWorker-3~         1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-10~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-11~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-12~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-13~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-14~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-15~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-16~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-17~              1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-6~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-7~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-8~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-9~               1.0           1           1         0.0           1
global.jtapi.push.add#                                   0.0           0           0         0.0           7
global.jtapi.push.queues.Queue 11~                       1.0           1           1         0.0           4
global.jtapi.push.queues.Queue 9~                        1.0           1           1         0.0           3

Performance Statistics   2020-02-28 07:47:30 - 2020-02-28 07:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 26.0          26          26         0.0           1
global.bg.ok                                             1.8           1           5         1.2          30

Performance Statistics   2020-02-28 07:47:30 - 2020-02-28 07:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

Performance Statistics   2020-02-28 07:48:00 - 2020-02-28 07:48:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2
communicator.presence_gc~                              600.0         600         600         0.0           1

Performance Statistics   2020-02-28 07:48:00 - 2020-02-28 07:48:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
global.bg.ok                                             2.7           1          16         3.7          29
presence.UsersGC.ok                                      0.0           0           0         0.0           1

Performance Statistics   2020-02-28 07:48:30 - 2020-02-28 07:49:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                 19.0          19          19         0.0           1
global.bg.ok                                             1.8           1           5         1.2          30

Performance Statistics   2020-02-28 07:48:30 - 2020-02-28 07:49:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3

